date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:42	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2017%20Nov%202017%2023:11:42%20GMT	https://www.placare.com/robots.txt		(from )
20:11:45	76870/76870	---MCZ	200	added ('OK')	text/html	etag:W/%2214ce635bc84e4c65ebd64ec0006ea04906d23415%22	https://www.placare.com/	www.placare.com/index.html	(from )
20:11:45	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Nov%202017%2023:11:45%20GMT	http://www.placare.com/common/js/bodegas/dist/bodegas.client.css?1	www.placare.com/common/js/bodegas/dist/bodegas.client.0c4ca.delayed	(from https://www.placare.com/)
20:11:45	1019/1019	---M--	200	added ('OK')	text/css	etag:%2231e61ecb26390cd8e973e5932814dd5c%22	https://www.placare.com/common/js/bodegas/dist/bodegas.client.css?1	www.placare.com/common/js/bodegas/dist/bodegas.clientc4ca.css	(from https://www.placare.com/)
20:11:46	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Nov%202017%2023:11:46%20GMT	http://www.placare.com/common/css/editableimage.css?1	www.placare.com/common/css/editableimagec4ca.css	(from https://www.placare.com/)
20:11:46	882/882	---M--	200	added ('OK')	text/css	etag:%220a765be201bffe0aa109f8896a88fb89%22	https://www.placare.com/common/css/editableimage.css?1	www.placare.com/common/css/editableimagec4ca.css	(from https://www.placare.com/)
20:11:46	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Nov%202017%2023:11:46%20GMT	http://www.placare.com/static/css/style.css?1	www.placare.com/static/css/stylec4ca.css	(from https://www.placare.com/)
20:11:46	11605/11605	---M--	200	added ('OK')	text/css	etag:%221a96c2c35477b3dccecc10d832bf1133%22	https://www.placare.com/static/css/style.css?1	www.placare.com/static/css/stylec4ca.css	(from https://www.placare.com/)
20:11:46	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Nov%202017%2023:11:46%20GMT	http://www.placare.com/static/css/footer.css?1	www.placare.com/static/css/footerc4ca.css	(from https://www.placare.com/)
20:11:47	19716/19716	---M--	200	added ('OK')	text/css	etag:%22cd66c87ee0993242758a3b0e32e4782a%22	https://www.placare.com/static/css/footer.css?1	www.placare.com/static/css/footerc4ca.css	(from https://www.placare.com/)
